Driver,LapTime,Compound,TyreLife,LapNumber
SAR,0 days 00:01:40.902000,SOFT,5.0,5.0
SAR,0 days 00:01:40.791000,SOFT,6.0,6.0
SAR,0 days 00:01:40.892000,SOFT,7.0,7.0
SAR,0 days 00:01:40.868000,SOFT,8.0,8.0
SAR,0 days 00:01:40.908000,SOFT,9.0,9.0
SAR,0 days 00:01:41.133000,SOFT,10.0,10.0
SAR,0 days 00:01:41.532000,SOFT,11.0,11.0
SAR,0 days 00:01:43.880000,SOFT,12.0,12.0
SAR,0 days 00:02:00.255000,SOFT,1.0,13.0
SAR,0 days 00:01:38.413000,SOFT,2.0,14.0
SAR,0 days 00:01:39.033000,SOFT,3.0,15.0
SAR,0 days 00:01:38.988000,SOFT,4.0,16.0
SAR,0 days 00:01:39.439000,SOFT,5.0,17.0
SAR,0 days 00:01:39.399000,SOFT,6.0,18.0
SAR,0 days 00:01:39.220000,SOFT,7.0,19.0
SAR,0 days 00:01:39.186000,SOFT,8.0,20.0
SAR,0 days 00:01:39.612000,SOFT,9.0,21.0
SAR,0 days 00:01:39.362000,SOFT,10.0,22.0
SAR,0 days 00:01:39.692000,SOFT,11.0,23.0
SAR,0 days 00:01:39.872000,SOFT,12.0,24.0
SAR,0 days 00:01:39.834000,SOFT,13.0,25.0
SAR,0 days 00:01:40.006000,SOFT,14.0,26.0
SAR,0 days 00:01:39.602000,SOFT,15.0,27.0
SAR,0 days 00:01:39.620000,SOFT,16.0,28.0
SAR,0 days 00:01:39.673000,SOFT,17.0,29.0
SAR,0 days 00:01:42.409000,SOFT,18.0,30.0
SAR,0 days 00:01:59.303000,HARD,1.0,31.0
SAR,0 days 00:01:37.613000,HARD,2.0,32.0
SAR,0 days 00:01:37.862000,HARD,3.0,33.0
SAR,0 days 00:01:37.902000,HARD,4.0,34.0
SAR,0 days 00:01:38.029000,HARD,5.0,35.0
SAR,0 days 00:01:37.717000,HARD,6.0,36.0
SAR,0 days 00:01:37.831000,HARD,7.0,37.0
SAR,0 days 00:01:38.015000,HARD,8.0,38.0
SAR,0 days 00:01:37.971000,HARD,9.0,39.0
SAR,0 days 00:01:53.753000,HARD,10.0,40.0
SAR,0 days 00:02:05.614000,SOFT,1.0,41.0
SAR,0 days 00:01:36.037000,SOFT,2.0,42.0
SAR,0 days 00:01:36.801000,SOFT,3.0,43.0
SAR,0 days 00:01:37.407000,SOFT,4.0,44.0
SAR,0 days 00:01:37.462000,SOFT,5.0,45.0
SAR,0 days 00:01:38.441000,SOFT,6.0,46.0
SAR,0 days 00:01:37.227000,SOFT,7.0,47.0
SAR,0 days 00:01:37.068000,SOFT,8.0,48.0
